"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genus","Species","region1","region2"
"Lactobacillus.amylolyticus",23.8579169901398,23.5510141237623,2.22640169169062,2.27465305453444e-26,5.39092773924661e-24,"Lactobacillus","amylolyticus","Lombardy","Veneto"
"Lactobacillus.amylolyticus1",23.8579169901398,23.3571000164119,2.55923636178844,3.73717032501116e-20,4.42854683513822e-18,"Lactobacillus","amylolyticus","Lombardy","Trentino-Alto-Adige"
"Lactobacillus.delbrueckii",42800.3894456737,2.51660380199129,0.700541520192306,1.83804266034041e-05,0.000871232221001353,"Lactobacillus","delbrueckii","Lombardy","Trentino-Alto-Adige"
"Lactobacillus.farraginis",42.160860406876,29.2588195239367,2.77017114539251,1.64294754815873e-26,3.89378568913618e-24,"Lactobacillus","farraginis","Lombardy","Trentino-Alto-Adige"
"Lactobacillus.parafarraginis",8.70912798489858,22.2548745703794,3.2040446496105,2.08784314137327e-12,1.64939608168488e-10,"Lactobacillus","parafarraginis","Lombardy","Trentino-Alto-Adige"
"Streptococcus.thermophilus",662.106774048885,-3.41295335723159,0.681428820209934,1.75808949148085e-09,1.0416680237024e-07,"Streptococcus","thermophilus","Lombardy","Trentino-Alto-Adige"
"Lactobacillus.amylolyticus2",23.8579169901398,13.9473448876717,9.36372377258611,6.81602891092481e-05,0.00980509008428315,"Lactobacillus","amylolyticus","Piedmont","Trentino-Alto-Adige"
"Lactobacillus.fermentum",1663.44754943687,-5.91512533551577,1.96990373145584,8.27433762386764e-05,0.00980509008428315,"Lactobacillus","fermentum","Piedmont","Trentino-Alto-Adige"
"Lactobacillus.amylolyticus3",23.8579169901398,24.370293122537,2.79035605253182,1.48471985895469e-18,3.51878606572261e-16,"Lactobacillus","amylolyticus","Emilia-Romagna","Veneto"
"Lactobacillus.amylolyticus4",23.8579169901398,24.1193679289715,3.05528004293348,1.4767920442021e-15,2.65822567956377e-14,"Lactobacillus","amylolyticus","Emilia-Romagna","Trentino-Alto-Adige"
"Lactobacillus.casei",12078.6005190869,-2.05067972388106,0.642726953798629,0.000268635388919571,0.00138155342872922,"Lactobacillus","casei","Emilia-Romagna","Trentino-Alto-Adige"
"Lactobacillus.delbrueckii1",42800.3894456737,1.96745234570728,0.78248220754253,0.00200568984694354,0.00902560431124595,"Lactobacillus","delbrueckii","Emilia-Romagna","Trentino-Alto-Adige"
"Lactobacillus.farraginis1",42.160860406876,29.2072939310707,3.30885430719053,3.95564192420137e-19,1.42403109271249e-17,"Lactobacillus","farraginis","Emilia-Romagna","Trentino-Alto-Adige"
"Lactobacillus.fermentum1",1663.44754943687,-2.69884519597946,0.838314364724923,3.95906041596398e-05,0.000237543624957839,"Lactobacillus","fermentum","Emilia-Romagna","Trentino-Alto-Adige"
"Lactobacillus.paracasei",781.726969829416,-2.63901960318894,0.683510655309031,6.20118463865072e-06,4.46485293982852e-05,"Lactobacillus","paracasei","Emilia-Romagna","Trentino-Alto-Adige"
"Lactobacillus.parafarraginis1",8.70912798489858,21.2023160686169,3.84685241765186,1.78192582095591e-08,2.13831098514709e-07,"Lactobacillus","parafarraginis","Emilia-Romagna","Trentino-Alto-Adige"
"Streptococcus.thermophilus1",662.106774048885,-3.2965900796548,0.793783169343237,1.7522123592164e-07,1.57699112329476e-06,"Streptococcus","thermophilus","Emilia-Romagna","Trentino-Alto-Adige"
"Lactobacillus.delbrueckii2",42800.3894456737,2.18780115451303,0.847541706334006,0.000711896765471025,0.00951629018728977,"Lactobacillus","delbrueckii","Veneto","Trentino-Alto-Adige"
"Lactobacillus.farraginis2",42.160860406876,26.8715479087538,3.23431780195342,3.5733720649136e-17,2.25122440089557e-15,"Lactobacillus","farraginis","Veneto","Trentino-Alto-Adige"
"Lactobacillus.fermentum2",1663.44754943687,-2.20320146051909,0.868071560367789,0.000755261125975379,0.00951629018728977,"Lactobacillus","fermentum","Veneto","Trentino-Alto-Adige"
"Lactobacillus.parafarraginis2",8.70912798489858,18.9374174220434,3.8975771154411,2.33269311379957e-07,4.89865553897911e-06,"Lactobacillus","parafarraginis","Veneto","Trentino-Alto-Adige"
"Streptococcus.thermophilus2",662.106774048885,-3.83631811910676,0.799174857007719,5.75949753927641e-09,1.81424172487207e-07,"Streptococcus","thermophilus","Veneto","Trentino-Alto-Adige"
