"kernel","gamma","cost","accuracy"
"radial",0.001,0.001,0.293756914991702
"radial",0.001,0.01,0.293756914991702
"radial",0.001,0.1,0.293756914991702
"radial",0.001,1,0.293756914991702
"radial",0.001,10,0.293756914991702
"radial",0.001,100,0.293756914991702
"radial",0.001,1000,0.365823160612207
"radial",0.01,0.001,0.293756914991702
"radial",0.01,0.01,0.293756914991702
"radial",0.01,0.1,0.293756914991702
"radial",0.01,1,0.293756914991702
"radial",0.01,10,0.293756914991702
"radial",0.01,100,0.365964656709079
"radial",0.01,1000,0.400268754994161
"radial",0.1,0.001,0.293756914991702
"radial",0.1,0.01,0.293756914991702
"radial",0.1,0.1,0.293756914991702
"radial",0.1,1,0.293756914991702
"radial",0.1,10,0.366628449812527
"radial",0.1,100,0.414402314217223
"radial",0.1,1000,0.510685168111132
"radial",1,0.001,0.293756914991702
"radial",1,0.01,0.293756914991702
"radial",1,0.1,0.293756914991702
"radial",1,1,0.366060721310468
"radial",1,10,0.460512646751491
"radial",1,100,0.499687542258283
"radial",1,1000,0.541297367693159
"radial",10,0.001,0.293756914991702
"radial",10,0.01,0.293756914991702
"radial",10,0.1,0.293756914991702
"radial",10,1,0.423079253488229
"radial",10,10,0.46136304474768
"radial",10,100,0.489999677300387
"radial",10,1000,0.472714380109411
"radial",100,0.001,0.293756914991702
"radial",100,0.01,0.293756914991702
"radial",100,0.1,0.293756914991702
"radial",100,1,0.387158599176348
"radial",100,10,0.395990027045301
"radial",100,100,0.389104331858135
"radial",100,1000,0.389104331858135
"radial",1000,0.001,0.293756914991702
"radial",1000,0.01,0.293756914991702
"radial",1000,0.1,0.293756914991702
"radial",1000,1,0.283903966131907
"radial",1000,10,0.290819196016965
"radial",1000,100,0.290819196016965
"radial",1000,1000,0.290819196016965
